Clues,Institución,Sigla de la Institución,Entidad,Municipio,Siglas del tipo de unidad,Tipo de Unidad,Unidad Médica,Cantidad de salas,Nivel de Atención,Observaciones,Latitud,Longitud,Direccion
DFSSA003973,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,CCINSHAE,Ciudad de México,Cuauhtémoc,HESP,Hospital Especializado,Hospital General de México Dr. Eduardo Liceaga,4,Tercer Nivel,No aplica,19.41387073,-99.15297951,"DR. BALMIS 148,  DOCTORES, CUAUHTEMOC, CIUDAD DE MEXICO, CP. 99999"
DFSSA003944,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,CCINSHAE,Ciudad de México,Gustavo A. Madero,HESP,Hospital Especializado,Hospital Juárez de México,1,Tercer Nivel,No aplica,19.482265,-99.136553,"CALLE INSTITUTO POLITECNICO NACIONAL 5160  ,  MAGDALENA DE LAS SALINAS, GUSTAVO A. MADERO, CIUDAD DE MEXICO, CP. 07760"
DFSSA004043,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,CCINSHAE,Ciudad de México,Tlalpan,HESP,Hospital Especializado,Instituto Nacional de Cancerología,1,Tercer Nivel,No aplica,19.28935472,-99.16051123,"AVENIDA SAN FERNANDO 22  , COLONIA SECCIÓN XVI, TLALPAN, CIUDAD DE MEXICO, CP. 14080"
DFSSA004031,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,CCINSHAE,Ciudad de México,Tlalpan,HESP,Hospital Especializado,Instituto Nacional de Cardiología Ignacio Chávez,4,Tercer Nivel,No aplica,19.291019,-99.153707,"CALLE JUAN BADIANO 1  , COLONIA SECCIÓN XVI, TLALPAN, CIUDAD DE MEXICO, CP. 14080"
DFSSA004055,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,CCINSHAE,Ciudad de México,Tlalpan,HESP,Hospital Especializado,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,2,Tercer Nivel,No aplica,19.2876757,-99.1571623,"AVENIDA VASCO DE QUIROGA 15  , COLONIA COLONIA BELISARIO DOMÍNGUEZ SECCIÓN XVI, TLALPAN, CIUDAD DE MEXICO, CP. 14080"
DFSSA004026,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,CCINSHAE,Ciudad de México,Tlalpan,HESP,Hospital Especializado,Instituto Nacional de Enfermedades Respiratorias Ismael Cosío Villegas,1,Tercer Nivel,No aplica,19.2924075,-99.1589973,"CALZADA TLALPAN 4502  , COLONIA SECCIÓN XVI, TLALPAN, CIUDAD DE MEXICO, CP. 14080"
DFSSA004060,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,CCINSHAE,Ciudad de México,Tlalpan,HESP,Hospital Especializado,Instituto Nacional de Neurología y Neurocirugía Manuel Velasco Suárez,2,Tercer Nivel,No aplica,19.29170532,-99.17533356,"CALLE INSURGENTES SUR 3877  , COLONIA LA FAMA, TLALPAN, CIUDAD DE MEXICO, CP. 14269"
DFSSA004014,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,CCINSHAE,Ciudad de México,Coyoacán,HESP,Hospital Especializado,Instituto Nacional de Pediatría,1,Tercer Nivel,No aplica,19.30675801,-99.18534496,"AVENIDA INSURGENTES SUR 3700 LETRA C  , COLONIA INSURGENTES CUICUILCO, COYOACAN, CIUDAD DE MEXICO, CP. 04530"
MCSME000921,Servicios Estatales de Salud,SESA,Estado de México,Metepec,HESP,Hospital Especializado,"Centro Médico ISSEMyM ""Lic. Arturo Montiel Rojas""",1,Tercer Nivel,No aplica,19.285464,-99.585755,"CALLE BAJA VELOCIDAD CARRETERA MÉXICO-TOLUCA KM. 57.5 PASEO TOLLOCAN 1519, COLONIA SAN JERÓNIMO CHICAHUALCO, METEPEC, MEXICO, CP. 52140"
DFIST000312,Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,ISSSTE,Ciudad de México,Benito Juárez,CMN,Centro Médico Nacional,Centro Médico Nacional 20 de Noviembre,3,Tercer Nivel,Sólo 2 salas funcionales,19.3727207,-99.1711628,"AVENIDA FÉLIX CUEVAS S/N, COLONIA DEL VALLE SUR, BENITO JUÁREZ, CIUDAD DE MÉXICO, CP. 3104"
